station,cope_or_chae,corrected_size,size_class,functional_group
17,chaetognath,10.1,chaetognath adult,chaetognath adult
20,chaetognath,7,chaetognath juvenile,chaetognath juvenile
20,chaetognath,13.4,chaetognath adult,chaetognath adult
20,chaetognath,7.7,chaetognath adult,chaetognath adult
20,chaetognath,7.7,chaetognath adult,chaetognath adult
20,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
20,chaetognath,5.5,chaetognath juvenile,chaetognath juvenile
20,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
20,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
20,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
20,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
20,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
20,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
20,chaetognath,4.4,chaetognath juvenile,chaetognath juvenile
20,chaetognath,5.4,chaetognath juvenile,chaetognath juvenile
20,chaetognath,5.5,chaetognath juvenile,chaetognath juvenile
20,chaetognath,9,chaetognath adult,chaetognath adult
20,copepod,2,size class 3,copepod (herbivorous/ omnivorous)
20,copepod,1.9,size class 3,copepod (herbivorous/ omnivorous)
20,chaetognath,5.8,chaetognath juvenile,chaetognath juvenile
20,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
23,copepod,1,size class 1,copepod (herbivorous/ omnivorous)
23,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
23,copepod,0.5,size class 1,copepod (herbivorous/ omnivorous)
23,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
23,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
23,chaetognath,5.9,chaetognath juvenile,chaetognath juvenile
23,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
23,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
23,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
23,chaetognath,11,chaetognath adult,chaetognath adult
23,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
23,chaetognath,8.5,chaetognath adult,chaetognath adult
23,chaetognath,6.5,chaetognath juvenile,chaetognath juvenile
23,chaetognath,12.3,chaetognath adult,chaetognath adult
23,chaetognath,4.8,chaetognath juvenile,chaetognath juvenile
23,chaetognath,9.4,chaetognath adult,chaetognath adult
26,chaetognath,21.6,chaetognath adult,chaetognath adult
26,chaetognath,8.9,chaetognath adult,chaetognath adult
26,chaetognath,19.3,chaetognath adult,chaetognath adult
26,chaetognath,33.9,chaetognath adult,chaetognath adult
26,chaetognath,7,chaetognath juvenile,chaetognath juvenile
26,chaetognath,9.8,chaetognath adult,chaetognath adult
26,chaetognath,10,chaetognath adult,chaetognath adult
26,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
26,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
26,copepod,0.7,size class 1,copepod (herbivorous/ omnivorous)
26,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
26,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
26,copepod,2.3,size class 3,copepod (herbivorous/ omnivorous)
26,copepod,1.6,size class 2,copepod (herbivorous/ omnivorous)
26,chaetognath,4.9,chaetognath juvenile,chaetognath juvenile
26,copepod,1.8,size class 2,copepod (herbivorous/ omnivorous)
26,copepod,1,size class 1,copepod (herbivorous/ omnivorous)
26,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
26,chaetognath,13.8,chaetognath adult,chaetognath adult
26,chaetognath,9.9,chaetognath adult,chaetognath adult
29,chaetognath,14.5,chaetognath adult,chaetognath adult
29,chaetognath,7.2,chaetognath juvenile,chaetognath juvenile
29,chaetognath,5.4,chaetognath juvenile,chaetognath juvenile
29,chaetognath,6.2,chaetognath juvenile,chaetognath juvenile
29,chaetognath,10.3,chaetognath adult,chaetognath adult
29,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
29,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
29,copepod,2,size class 3,copepod (herbivorous/ omnivorous)
29,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
29,chaetognath,17.7,chaetognath adult,chaetognath adult
29,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
29,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
29,chaetognath,13,chaetognath adult,chaetognath adult
29,copepod,2.2,size class 3,copepod (herbivorous/ omnivorous)
29,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
29,chaetognath,4.7,chaetognath juvenile,chaetognath juvenile
29,chaetognath,7.2,chaetognath juvenile,chaetognath juvenile
29,copepod,2,size class 3,copepod (herbivorous/ omnivorous)
29,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
29,chaetognath,20.5,chaetognath adult,chaetognath adult
36,chaetognath,8.2,chaetognath adult,chaetognath adult
36,chaetognath,11.2,chaetognath adult,chaetognath adult
36,chaetognath,12.9,chaetognath adult,chaetognath adult
36,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
36,chaetognath,14.4,chaetognath adult,chaetognath adult
36,copepod,1.6,size class 2,copepod (herbivorous/ omnivorous)
36,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
36,copepod,0.5,size class 1,copepod (herbivorous/ omnivorous)
36,copepod,0.7,size class 1,copepod (herbivorous/ omnivorous)
36,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
36,copepod,0.5,size class 1,copepod (herbivorous/ omnivorous)
36,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
36,chaetognath,10,chaetognath adult,chaetognath adult
36,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
36,chaetognath,21.1,chaetognath adult,chaetognath adult
36,chaetognath,5.1,chaetognath juvenile,chaetognath juvenile
36,chaetognath,16.4,chaetognath adult,chaetognath adult
36,chaetognath,8.6,chaetognath adult,chaetognath adult
36,chaetognath,9.5,chaetognath adult,chaetognath adult
38,chaetognath,13.3,chaetognath adult,chaetognath adult
38,chaetognath,12.1,chaetognath adult,chaetognath adult
38,chaetognath,13.2,chaetognath adult,chaetognath adult
38,chaetognath,27.1,chaetognath adult,chaetognath adult
38,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
38,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
38,chaetognath,18.5,chaetognath adult,chaetognath adult
38,chaetognath,6.2,chaetognath juvenile,chaetognath juvenile
38,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
38,chaetognath,13.5,chaetognath adult,chaetognath adult
38,copepod,1,size class 1,copepod (herbivorous/ omnivorous)
38,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
38,copepod,2.1,size class 3,copepod (herbivorous/ omnivorous)
38,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
38,copepod,1.5,size class 2,copepod (herbivorous/ omnivorous)
38,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
38,chaetognath,18.6,chaetognath adult,chaetognath adult
38,chaetognath,7.7,chaetognath adult,chaetognath adult
38,chaetognath,9.4,chaetognath adult,chaetognath adult
42,chaetognath,8.4,chaetognath adult,chaetognath adult
42,chaetognath,9.1,chaetognath adult,chaetognath adult
42,chaetognath,9.7,chaetognath adult,chaetognath adult
42,copepod,0.7,size class 1,copepod (herbivorous/ omnivorous)
42,copepod,1,size class 1,copepod (herbivorous/ omnivorous)
42,chaetognath,6.2,chaetognath juvenile,chaetognath juvenile
42,chaetognath,14.2,chaetognath adult,chaetognath adult
42,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
42,chaetognath,8.1,chaetognath adult,chaetognath adult
42,chaetognath,17.2,chaetognath adult,chaetognath adult
42,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
42,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
42,copepod,1.9,size class 3,copepod (herbivorous/ omnivorous)
42,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
42,chaetognath,9.7,chaetognath adult,chaetognath adult
42,chaetognath,11.1,chaetognath adult,chaetognath adult
42,copepod,1.6,size class 2,copepod (herbivorous/ omnivorous)
42,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
42,copepod,0.6,size class 1,copepod (herbivorous/ omnivorous)
42,chaetognath,14.5,chaetognath adult,chaetognath adult
44,chaetognath,24.9,chaetognath adult,chaetognath adult
44,chaetognath,37.4,chaetognath adult,chaetognath adult
44,chaetognath,11.8,chaetognath adult,chaetognath adult
44,chaetognath,18.8,chaetognath adult,chaetognath adult
44,chaetognath,11.2,chaetognath adult,chaetognath adult
44,chaetognath,6,chaetognath juvenile,chaetognath juvenile
44,chaetognath,6.9,chaetognath juvenile,chaetognath juvenile
44,chaetognath,11.1,chaetognath adult,chaetognath adult
44,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
44,copepod,1.9,size class 3,copepod (herbivorous/ omnivorous)
44,copepod,2.3,size class 3,copepod (herbivorous/ omnivorous)
44,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
44,chaetognath,7.4,chaetognath adult,chaetognath adult
44,copepod,1.5,size class 2,copepod (herbivorous/ omnivorous)
44,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
44,copepod,0.6,size class 1,copepod (herbivorous/ omnivorous)
44,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
44,copepod,1,size class 1,copepod (herbivorous/ omnivorous)
44,copepod,2.3,size class 3,copepod (herbivorous/ omnivorous)
44,chaetognath,4.5,chaetognath juvenile,chaetognath juvenile
